iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
IRN,gadm_IRN.6.16_1,17765875.336800005,1,2025-07-31 00:00:00
CHN,gadm_CHN.13.12_1,17680185.0266,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.10_1,17537871.275799993,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.17_1,17477644.824600004,1,2025-07-31 00:00:00
CAN,gadm_CAN.2.14_1,17142771.3166,1,2025-07-31 00:00:00
CHN,gadm_CHN.22.7_1,17121631.613400005,1,2025-07-31 00:00:00
DEU,ghs-fua_1064,17041498.9776,1,2025-07-31 00:00:00
USA,gadm_USA.33.24_1,17028372.131199993,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.10_1,16832418.639599998,1,2025-07-31 00:00:00
USA,ghs-fua_4444,16814419.221200008,1,2025-07-31 00:00:00
PAK,gadm_PAK.7.5_1,16652670.287000002,1,2025-07-31 00:00:00
USA,ghs-fua_6192,16549820.971400002,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.4_1,16518903.996800002,1,2025-07-31 00:00:00
MEX,ghs-fua_5006,16502533.826799996,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.4_1,16358732.537999999,1,2025-07-31 00:00:00
DEU,ghs-fua_3093,16344241.5062,1,2025-07-31 00:00:00
CHN,gadm_CHN.11.9_1,16326499.360200003,1,2025-07-31 00:00:00
CHN,gadm_CHN.31.10_1,16105175.990599994,1,2025-07-31 00:00:00
USA,gadm_USA.33.42_1,16046601.8222,1,2025-07-31 00:00:00
CAN,gadm_CAN.9.50_1,16030068.7456,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.15_1,16019483.469800005,1,2025-07-31 00:00:00
CHN,ghs-fua_8055,15967015.953800002,1,2025-07-31 00:00:00
BEL,ghs-fua_1269,15940509.550000008,1,2025-07-31 00:00:00
CHN,gadm_CHN.10.10_1,15938504.227399997,1,2025-07-31 00:00:00
CAN,ghs-fua_375,15915450.115200002,1,2025-07-31 00:00:00
USA,gadm_USA.5.33_1,15914063.154400002,1,2025-07-31 00:00:00
KOR,ghs-fua_3057,15789438.603200002,1,2025-07-31 00:00:00
IND,ghs-fua_10452,15655580.470399998,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.18_1,15592750.46,1,2025-07-31 00:00:00
ZAF,ghs-fua_3337,15442202.9662,1,2025-07-31 00:00:00
CHN,gadm_CHN.31.1_1,15382430.001199998,1,2025-07-31 00:00:00
CHN,gadm_CHN.14.7_1,15342178.132599996,1,2025-07-31 00:00:00
ITA,ghs-fua_1600,15273891.186599992,1,2025-07-31 00:00:00
CHN,gadm_CHN.18.4_1,15267585.516199999,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.11_1,15253130.658200001,1,2025-07-31 00:00:00
CHN,gadm_CHN.31.6_1,15247334.254600003,1,2025-07-31 00:00:00
CHN,gadm_CHN.8.2_1,15065865.369200004,1,2025-07-31 00:00:00
USA,ghs-fua_6237,15003461.513999993,1,2025-07-31 00:00:00
CHN,gadm_CHN.16.8_1,14845150.453599997,1,2025-07-31 00:00:00
