cluster_id,n_hotspots,sum_combined_emissions,median_combined_emissions,mean_res_share,median_res_share,share_of_hotspots,share_of_total_emissions,cluster_label
5,11512,23194034666.6038,835435.7152000002,0.8715525766650222,0.8815534787775137,0.20183743600532997,0.8629199158753958,Residential-dominant high
0,22424,2822545495.3744,90680.25410000002,0.9664328075870505,0.9801159359684832,0.3931552002244197,0.10501108394607712,Residential-dominant high
2,3847,515677318.0166,76165.39319999999,0.7152013930541615,0.7438775378651135,0.06744862893611053,0.019185460152926978,Mixed high
1,18790,337635680.9876,12220.310599999999,0.9893503889398045,0.9992152873597007,0.3294410547724244,0.012561529618383261,Residential-dominant moderate
3,125,8654755.8068,51127.70660000001,1.0,1.0,0.0021915982888000562,0.0003219949120572522,Residential-dominant moderate
4,338,416.4874000000001,0.0,0.004401407116223412,0.0,0.005926081772915352,1.5495159739872333e-08,Non-residential heavy moderate
