iso3_country,latest_end_time,total_emissions
MNE,2025-12-31 00:00:00,315416.691530321
GHA,2025-12-31 00:00:00,311358.4174646108
CRI,2025-12-31 00:00:00,306764.20506645023
SLV,2025-12-31 00:00:00,301713.8058702586
BHR,2025-12-31 00:00:00,296610.30784088466
ALB,2025-12-31 00:00:00,296137.08398742205
MOZ,2025-12-31 00:00:00,295853.5049306803
HTI,2025-12-31 00:00:00,285266.4799727495
MLT,2025-12-31 00:00:00,278206.29963292606
LBR,2025-12-31 00:00:00,276723.07131259056
SDN,2025-12-31 00:00:00,275798.5690112553
LBN,2025-12-31 00:00:00,237751.4738533421
SUR,2025-12-31 00:00:00,234288.3670698716
MDG,2025-12-31 00:00:00,232125.04740526906
LIE,2025-12-31 00:00:00,226595.5572743113
SEN,2025-12-31 00:00:00,212366.7847953854
JAM,2025-12-31 00:00:00,209943.84095009643
BRN,2025-12-31 00:00:00,208835.1305530065
GIN,2025-12-31 00:00:00,190213.34588026718
BFA,2025-12-31 00:00:00,187642.49422655918
BHS,2025-12-31 00:00:00,181926.45419350863
MUS,2025-12-31 00:00:00,173774.22386198345
GAB,2025-12-31 00:00:00,172064.80724132332
AFG,2025-12-31 00:00:00,140902.78020984173
SMR,2025-12-31 00:00:00,133025.81592883437
COG,2025-12-31 00:00:00,130091.82099660326
REU,2025-12-31 00:00:00,129580.93259272423
PYF,2025-12-31 00:00:00,123519.42578975117
SOM,2025-12-31 00:00:00,114488.43597232572
GNQ,2025-12-31 00:00:00,105350.34828438003
TGO,2025-12-31 00:00:00,105034.92845307573
DJI,2025-12-31 00:00:00,97863.76680593817
GUY,2025-12-31 00:00:00,97803.68697303842
CUW,2025-12-31 00:00:00,92642.68539999999
LAO,2025-12-31 00:00:00,90978.67362823048
BEN,2025-12-31 00:00:00,88946.35917360517
SYC,2025-12-31 00:00:00,88664.90460834293
MWI,2025-12-31 00:00:00,83808.31572552206
SLE,2025-12-31 00:00:00,81594.44168182962
LSO,2025-12-31 00:00:00,81380.86451625833
BDI,2025-12-31 00:00:00,80451.8041378399
BWA,2025-12-31 00:00:00,78104.58201405863
BTN,2025-12-31 00:00:00,70484.04880132264
ALA,2025-12-31 00:00:00,68384.50958333665
RWA,2025-12-31 00:00:00,64487.56663493227
MLI,2025-12-31 00:00:00,62096.425930975165
GUF,2025-12-31 00:00:00,60621.456589643414
ABW,2025-12-31 00:00:00,60386.396199999996
TCD,2025-12-31 00:00:00,59147.6894338812
BMU,2025-12-31 00:00:00,57284.19808045301
ERI,2025-12-31 00:00:00,55663.635216808056
NER,2025-12-31 00:00:00,52480.47765821274
MTQ,2025-12-31 00:00:00,52345.56557932167
MRT,2025-12-31 00:00:00,50244.40526041348
BRB,2025-12-31 00:00:00,47789.89886271554
SSD,2025-12-31 00:00:00,46731.34884173539
GLP,2025-12-31 00:00:00,41983.5645833385
MCO,2025-12-31 00:00:00,40223.6212
SXM,2025-12-31 00:00:00,39181.18779999999
CYM,2025-12-31 00:00:00,35669.27787965866
LCA,2025-12-31 00:00:00,34421.993836079666
VAT,2025-12-31 00:00:00,33533.1638
BLZ,2025-12-31 00:00:00,26372.050869253777
MAF,2025-12-31 00:00:00,24713.873
PLW,2025-12-31 00:00:00,24437.882065913927
SWZ,2025-12-31 00:00:00,24336.54710692333
GNB,2025-12-31 00:00:00,23811.72588032554
CPV,2025-12-31 00:00:00,22001.519310319407
SLB,2025-12-31 00:00:00,21643.600384070865
GIB,2025-12-31 00:00:00,18921.748199999998
AND,2025-12-31 00:00:00,18453.57148020817
ATG,2025-12-31 00:00:00,14870.63614104787
VUT,2025-12-31 00:00:00,12726.031537691648
BES,2025-12-31 00:00:00,11969.079010235186
KNA,2025-12-31 00:00:00,11286.297472882718
CAF,2025-12-31 00:00:00,11150.448071707597
TCA,2025-12-31 00:00:00,10681.386805709648
GMB,2025-12-31 00:00:00,9368.49341622632
COM,2025-12-31 00:00:00,8600.531643469665
KIR,2025-12-31 00:00:00,7447.1956
TLS,2025-12-31 00:00:00,7352.2010150494725
VGB,2025-12-31 00:00:00,7077.5162206226305
WSM,2025-12-31 00:00:00,6721.253566809844
STP,2025-12-31 00:00:00,5213.129492382629
FLK,2025-12-31 00:00:00,4994.8324
GRD,2025-12-31 00:00:00,4927.589950393336
COK,2025-12-31 00:00:00,4417.804487768319
DMA,2025-12-31 00:00:00,3767.9520029564965
VCT,2025-12-31 00:00:00,3657.023486056706
ESH,2025-12-31 00:00:00,2612.1256160087314
SPM,2025-12-31 00:00:00,2173.962331234531
IMN,2025-12-31 00:00:00,1094.5535149505993
MSR,2025-12-31 00:00:00,603.2552000000001
GUM,2025-12-31 00:00:00,211.37140000000002
AIA,2025-12-31 00:00:00,148.39476621381655
TON,2025-12-31 00:00:00,99.776
VIR,2025-12-31 00:00:00,44.92142479338843
SHN,2025-12-31 00:00:00,0.4769999999999999
BLM,2025-12-31 00:00:00,0.0
BVT,2025-12-31 00:00:00,0.0
SJM,2025-12-31 00:00:00,0.0
FSM,2025-12-31 00:00:00,0.0
IOT,2025-12-31 00:00:00,0.0
CXR,2025-12-31 00:00:00,0.0
CCK,2025-12-31 00:00:00,0.0
ASM,2025-12-31 00:00:00,0.0
MHL,2025-12-31 00:00:00,0.0
JEY,2025-12-31 00:00:00,0.0
TKL,2025-12-31 00:00:00,0.0
ATF,2025-12-31 00:00:00,0.0
MYT,2025-12-31 00:00:00,0.0
GGY,2025-12-31 00:00:00,0.0
ATA,2025-12-31 00:00:00,0.0
WLF,2025-12-31 00:00:00,0.0
NIU,2025-12-31 00:00:00,0.0
FRO,2025-12-31 00:00:00,0.0
NRU,2025-12-31 00:00:00,0.0
UNK,2025-12-31 00:00:00,0.0
MNP,2025-12-31 00:00:00,0.0
TUV,2025-12-31 00:00:00,0.0
NFK,2025-12-31 00:00:00,0.0
HMD,2025-12-31 00:00:00,0.0
PCN,2025-12-31 00:00:00,0.0
SGS,2025-12-31 00:00:00,0.0
UMI,2025-12-31 00:00:00,0.0
