iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
CAN,ghs-fua_1572,4165771.0620000004,1,2025-07-31 00:00:00
DEU,ghs-fua_3580,4149962.3853999996,1,2025-07-31 00:00:00
BEL,gadm_BEL.2.1_1,4138688.904,1,2025-07-31 00:00:00
CAN,gadm_CAN.1.16_1,4063588.073200002,1,2025-07-31 00:00:00
USA,gadm_USA.23.86_1,4062421.256,1,2025-07-31 00:00:00
GBR,ghs-fua_4159,4057892.6834,1,2025-07-31 00:00:00
USA,gadm_USA.29.3_1,4038051.8255999982,1,2025-07-31 00:00:00
USA,gadm_USA.5.43_1,4027348.2003999995,1,2025-07-31 00:00:00
USA,ghs-fua_4143,3987468.254600002,1,2025-07-31 00:00:00
USA,ghs-fua_5229,3980976.5959999994,1,2025-07-31 00:00:00
IND,ghs-fua_7163,3968715.1179999993,1,2025-07-31 00:00:00
USA,ghs-fua_6720,3952410.356599999,1,2025-07-31 00:00:00
CAN,gadm_CAN.9.53_1,3916274.4231999987,1,2025-07-31 00:00:00
POL,ghs-fua_2663,3912967.176600002,1,2025-07-31 00:00:00
USA,gadm_USA.5.36_1,3861681.3434000006,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.4_1,3832643.4670000016,1,2025-07-31 00:00:00
DEU,gadm_DEU.6.1_1,3753032.8386,1,2025-07-31 00:00:00
USA,ghs-fua_6851,3737938.7616000012,1,2025-07-31 00:00:00
CAN,ghs-fua_1276,3684262.916399999,1,2025-07-31 00:00:00
USA,ghs-fua_7020,3683487.5675999993,1,2025-07-31 00:00:00
BEL,ghs-fua_1269,3672993.656000002,1,2025-07-31 00:00:00
CHE,ghs-fua_1479,3567996.153600001,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.2_1,3517412.058000001,1,2025-07-31 00:00:00
USA,gadm_USA.44.15_1,3505916.628199999,1,2025-07-31 00:00:00
BEL,gadm_BEL.2.3_1,3458382.228199999,1,2025-07-31 00:00:00
USA,gadm_USA.5.1_1,3445205.8754000003,1,2025-07-31 00:00:00
USA,ghs-fua_7050,3443922.2104000016,1,2025-07-31 00:00:00
IRN,gadm_IRN.1.4_1,3435094.7226,1,2025-07-31 00:00:00
USA,gadm_USA.10.43_1,3413163.2514,1,2025-07-31 00:00:00
USA,ghs-fua_5349,3386799.5047999998,1,2025-07-31 00:00:00
USA,gadm_USA.33.24_1,3383821.9040000006,1,2025-07-31 00:00:00
USA,ghs-fua_6990,3377085.9260000004,1,2025-07-31 00:00:00
USA,gadm_USA.5.33_1,3369773.564,1,2025-07-31 00:00:00
DEU,ghs-fua_3041,3329363.2968,1,2025-07-31 00:00:00
RUS,ghs-fua_6046,3313285.6939999997,1,2025-07-31 00:00:00
CHN,gadm_CHN.1.8_1,3296655.4132,1,2025-07-31 00:00:00
HUN,ghs-fua_964,3293722.8126000008,1,2025-07-31 00:00:00
IDN,ghs-fua_4897,3292797.4462000025,1,2025-07-31 00:00:00
RUS,ghs-fua_5972,3255443.8836000003,1,2025-07-31 00:00:00
ITA,gadm_ITA.10.8_1,3254800.0188,1,2025-07-31 00:00:00
CHN,gadm_CHN.26.2_1,3180716.5314,1,2025-07-31 00:00:00
BEL,gadm_BEL.2.5_1,3172373.319799999,1,2025-07-31 00:00:00
NLD,ghs-fua_1427,3159285.698200002,1,2025-07-31 00:00:00
USA,ghs-fua_7312,3151833.981400001,1,2025-07-31 00:00:00
CAN,ghs-fua_3343,3148830.126399999,1,2025-07-31 00:00:00
USA,gadm_USA.21.3_1,3139404.5910000014,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.9_1,3134051.267800002,1,2025-07-31 00:00:00
CHN,ghs-fua_9459,3128679.0129999993,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.8_1,3119226.2988,1,2025-07-31 00:00:00
POL,ghs-fua_3222,3080923.787399999,1,2025-07-31 00:00:00
RUS,gadm_RUS.11.8_1,3077850.629400001,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.13_1,3073829.1584,1,2025-07-31 00:00:00
ESP,gadm_ESP.10.3_1,3071102.989600001,1,2025-07-31 00:00:00
USA,gadm_USA.33.32_1,3056543.035400001,1,2025-07-31 00:00:00
USA,ghs-fua_3652,3030566.96,1,2025-07-31 00:00:00
USA,gadm_USA.24.27_1,3019481.126399999,1,2025-07-31 00:00:00
RUS,ghs-fua_6191,3014723.2144000004,1,2025-07-31 00:00:00
USA,gadm_USA.33.53_1,3012010.8686,1,2025-07-31 00:00:00
CHN,gadm_CHN.11.3_1,2959904.5326,1,2025-07-31 00:00:00
IRL,ghs-fua_415,2946349.141800001,1,2025-07-31 00:00:00
AUS,ghs-fua_1266,2945717.3636000003,1,2025-07-31 00:00:00
PHL,ghs-fua_2845,2929689.937399999,1,2025-07-31 00:00:00
IRN,gadm_IRN.24.9_1,2912219.478600001,1,2025-07-31 00:00:00
USA,gadm_USA.14.22_1,2899725.2432000004,1,2025-07-31 00:00:00
USA,ghs-fua_6942,2897893.368000001,1,2025-07-31 00:00:00
RUS,ghs-fua_6340,2896538.7717999984,1,2025-07-31 00:00:00
RUS,gadm_RUS.66.11_1,2890565.0898000007,1,2025-07-31 00:00:00
RUS,ghs-fua_4937,2866375.1005999986,1,2025-07-31 00:00:00
USA,gadm_USA.39.51_1,2861696.580400001,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.6_1,2838196.0134000005,1,2025-07-31 00:00:00
USA,ghs-fua_6237,2836790.8301999997,1,2025-07-31 00:00:00
RUS,gadm_RUS.50.25_1,2834795.5992,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.4_1,2827020.9219999993,1,2025-07-31 00:00:00
USA,gadm_USA.33.42_1,2821853.5668,1,2025-07-31 00:00:00
USA,gadm_USA.50.43_1,2800127.2041999996,1,2025-07-31 00:00:00
KOR,ghs-fua_3057,2767851.233400001,1,2025-07-31 00:00:00
USA,gadm_USA.11.60_1,2764642.0340000005,1,2025-07-31 00:00:00
USA,ghs-fua_6487,2757868.6076,1,2025-07-31 00:00:00
USA,gadm_USA.22.9_1,2747942.5228,1,2025-07-31 00:00:00
RUS,ghs-fua_3560,2712121.3756,1,2025-07-31 00:00:00
RUS,ghs-fua_5413,2706432.550999999,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.5_1,2667591.1347999997,1,2025-07-31 00:00:00
FRA,gadm_FRA.7.2_1,2661181.9904,1,2025-07-31 00:00:00
RUS,ghs-fua_3736,2654014.1111999997,1,2025-07-31 00:00:00
FRA,ghs-fua_3718,2650573.2926000007,1,2025-07-31 00:00:00
USA,ghs-fua_6047,2647273.6215999997,1,2025-07-31 00:00:00
RUS,ghs-fua_4829,2636673.0102,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.1_1,2615808.795,1,2025-07-31 00:00:00
USA,gadm_USA.26.95_1,2606700.0640000002,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.7_1,2575693.3378000003,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.9_1,2554005.9158,1,2025-07-31 00:00:00
CAN,gadm_CAN.9.35_1,2550734.9390000007,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.3_1,2540019.9696,1,2025-07-31 00:00:00
CHN,ghs-fua_7578,2539409.4292,1,2025-07-31 00:00:00
USA,gadm_USA.45.18_1,2512168.6366000003,1,2025-07-31 00:00:00
CAN,ghs-fua_1837,2507036.4922,1,2025-07-31 00:00:00
USA,gadm_USA.31.12_1,2490941.7774000005,1,2025-07-31 00:00:00
USA,gadm_USA.33.31_1,2479655.980599999,1,2025-07-31 00:00:00
USA,ghs-fua_5705,2471848.8572,1,2025-07-31 00:00:00
ARG,ghs-fua_4215,2466182.7374000004,1,2025-07-31 00:00:00
DEU,gadm_DEU.2.54_1,2462178.9106,1,2025-07-31 00:00:00
