iso3_country,latest_end_time,total_emissions
COK,2025-12-31 00:00:00,12417.910033012522
GRD,2025-12-31 00:00:00,8728.107985802566
KIR,2025-12-31 00:00:00,8353.301284265961
MUS,2025-12-31 00:00:00,7380.654056087384
KNA,2025-12-31 00:00:00,7309.929028256116
VCT,2025-12-31 00:00:00,6278.468907542792
TCA,2025-12-31 00:00:00,6220.191064560901
DMA,2025-12-31 00:00:00,4880.059053168096
VGB,2025-12-31 00:00:00,4849.044654730488
SPM,2025-12-31 00:00:00,2624.017168055389
FLK,2025-12-31 00:00:00,1237.985059185404
MSR,2025-12-31 00:00:00,993.6165360872839
BGR,2025-12-31 00:00:00,815.0483736315359
AIA,2025-12-31 00:00:00,31.65479622243914
SHN,2025-12-31 00:00:00,15.940441938896564
PER,2025-12-31 00:00:00,6.2289439750842215
ALA,2025-12-31 00:00:00,0.0
VNM,2025-12-31 00:00:00,0.0
BLM,2025-12-31 00:00:00,0.0
BVT,2025-12-31 00:00:00,0.0
CAN,2025-12-31 00:00:00,0.0
UMI,2025-12-31 00:00:00,0.0
TUR,2025-12-31 00:00:00,0.0
SSD,2025-12-31 00:00:00,0.0
SRB,2025-12-31 00:00:00,0.0
SGS,2025-12-31 00:00:00,0.0
YEM,2025-12-31 00:00:00,0.0
PCN,2025-12-31 00:00:00,0.0
MEX,2025-12-31 00:00:00,0.0
HMD,2025-12-31 00:00:00,0.0
MAF,2025-12-31 00:00:00,0.0
GTM,2025-12-31 00:00:00,0.0
PRY,2025-12-31 00:00:00,0.0
ARE,2025-12-31 00:00:00,0.0
SMR,2025-12-31 00:00:00,0.0
THA,2025-12-31 00:00:00,0.0
COG,2025-12-31 00:00:00,0.0
TTO,2025-12-31 00:00:00,0.0
MLT,2025-12-31 00:00:00,0.0
VIR,2025-12-31 00:00:00,0.0
MYT,2025-12-31 00:00:00,0.0
NPL,2025-12-31 00:00:00,0.0
NZL,2025-12-31 00:00:00,0.0
AZE,2025-12-31 00:00:00,0.0
ATA,2025-12-31 00:00:00,0.0
SUR,2025-12-31 00:00:00,0.0
AND,2025-12-31 00:00:00,0.0
URY,2025-12-31 00:00:00,0.0
VEN,2025-12-31 00:00:00,0.0
ALB,2025-12-31 00:00:00,0.0
GGY,2025-12-31 00:00:00,0.0
GIB,2025-12-31 00:00:00,0.0
HTI,2025-12-31 00:00:00,0.0
GUY,2025-12-31 00:00:00,0.0
LAO,2025-12-31 00:00:00,0.0
BEN,2025-12-31 00:00:00,0.0
SVK,2025-12-31 00:00:00,0.0
SJM,2025-12-31 00:00:00,0.0
SAU,2025-12-31 00:00:00,0.0
BHR,2025-12-31 00:00:00,0.0
CXR,2025-12-31 00:00:00,0.0
NER,2025-12-31 00:00:00,0.0
MAR,2025-12-31 00:00:00,0.0
FSM,2025-12-31 00:00:00,0.0
LIE,2025-12-31 00:00:00,0.0
KWT,2025-12-31 00:00:00,0.0
IOT,2025-12-31 00:00:00,0.0
IMN,2025-12-31 00:00:00,0.0
NIU,2025-12-31 00:00:00,0.0
NRU,2025-12-31 00:00:00,0.0
COD,2025-12-31 00:00:00,0.0
LUX,2025-12-31 00:00:00,0.0
IRL,2025-12-31 00:00:00,0.0
HRV,2025-12-31 00:00:00,0.0
SWZ,2025-12-31 00:00:00,0.0
SXM,2025-12-31 00:00:00,0.0
HKG,2025-12-31 00:00:00,0.0
TZA,2025-12-31 00:00:00,0.0
GEO,2025-12-31 00:00:00,0.0
UNK,2025-12-31 00:00:00,0.0
FRO,2025-12-31 00:00:00,0.0
BOL,2025-12-31 00:00:00,0.0
DOM,2025-12-31 00:00:00,0.0
ERI,2025-12-31 00:00:00,0.0
CIV,2025-12-31 00:00:00,0.0
GNQ,2025-12-31 00:00:00,0.0
XKX,2025-12-31 00:00:00,0.0
TUN,2025-12-31 00:00:00,0.0
JEY,2025-12-31 00:00:00,0.0
TGO,2025-12-31 00:00:00,0.0
ATF,2025-12-31 00:00:00,0.0
PSE,2025-12-31 00:00:00,0.0
MCO,2025-12-31 00:00:00,0.0
